episode,step,train_score,eval_score,best_score,epsilon,loss,q_avg_0,q_min_0,q_max_0,q_avg_1,q_min_1,q_max_1
1,13,-5.0,-5.0,-5.0,             0.98810,0.13376719690859318,1.384,0.701,1.978,1.368,0.603,1.836
2,28,-5.0,-5.0,-5.0,             0.97454,0.15563845932483672,0.555,0.275,1.384,0.531,0.103,1.606
3,44,-4.0,-5.0,-5.0,             0.96028,0.1475888784043491,0.987,0.608,1.264,1.054,0.85,1.462
4,59,-5.0,-5.0,-5.0,             0.94711,0.09924895068009694,0.723,0.587,0.867,0.74,0.585,0.882
5,73,-5.0,-5.0,-5.0,             0.93498,0.09239055615450655,0.73,0.614,0.976,0.747,0.486,0.994
6,88,-5.0,-5.0,-5.0,             0.92215,0.09492271443208058,0.8,0.518,1.112,0.801,0.388,1.136
7,112,-4.0,-5.0,-5.0,             0.90199,0.09777773637324572,0.966,0.678,1.407,0.88,0.537,1.27
8,127,-5.0,-5.0,-5.0,             0.88961,0.08332515383760135,1.239,0.721,1.498,1.246,0.66,1.498
9,142,-5.0,-5.0,-5.0,             0.87740,0.10395446469386418,0.814,0.521,1.148,0.886,0.56,1.27
10,157,-5.0,-5.0,-5.0,             0.86537,0.1123716245094935,0.552,0.154,0.944,0.592,0.14,0.889
11,164,-5.0,-5.0,-5.0,             0.85981,0.10209362315280097,0.554,0.35,1.038,0.65,0.468,1.067
12,179,-5.0,-5.0,-5.0,             0.84801,0.14269718130429584,1.512,0.659,1.909,1.182,0.201,1.934
13,194,-5.0,-5.0,-5.0,             0.83637,0.20637318442265193,0.339,-0.047,1.001,0.575,0.094,1.301
14,218,-4.0,-5.0,-5.0,             0.81809,0.18992891364420453,0.73,0.11,1.407,0.78,0.378,1.163
15,233,-5.0,-5.0,-5.0,             0.80686,0.13616368571917217,0.872,0.304,1.322,0.93,0.748,1.085
16,248,-5.0,-5.0,-5.0,             0.79579,0.14272955159346262,1.195,0.232,1.876,0.87,0.356,1.202
17,263,-5.0,-5.0,-5.0,             0.78487,0.13771038204431535,0.819,0.344,1.332,0.853,0.499,1.211
18,278,-5.0,-5.0,-5.0,             0.77411,0.10338511789838473,0.591,0.144,0.948,0.559,0.306,0.802
19,293,-5.0,-5.0,-5.0,             0.76348,0.11856733014186223,0.637,0.345,1.052,0.74,0.432,1.377
20,297,-5.0,-5.0,-5.0,             0.76068,0.060808767564594746,1.347,1.303,1.382,1.365,1.33,1.441
21,312,-5.0,-5.0,-5.0,             0.75024,0.07292381711304188,1.233,0.801,1.617,1.308,0.86,1.563
22,327,-5.0,-5.0,-5.0,             0.73995,0.07972665379444759,0.915,0.39,1.111,0.989,0.753,1.222
23,342,-5.0,-5.0,-5.0,             0.72979,0.08913333664337794,1.193,0.74,1.436,1.178,0.484,1.451
24,357,-5.0,-5.0,-5.0,             0.71978,0.0932130478322506,0.6,0.289,0.795,0.653,0.495,0.819
25,374,-4.0,-5.0,-5.0,             0.70860,0.07671289233600392,1.11,0.827,1.518,1.187,0.949,1.903
26,389,-5.0,-5.0,-5.0,             0.69888,0.07964327285687128,1.326,0.786,1.638,1.389,0.594,1.681
27,404,-5.0,-5.0,-5.0,             0.68929,0.08527677754561107,0.704,0.053,0.956,0.822,0.173,1.109
28,419,-5.0,-5.0,-5.0,             0.67983,0.08470541114608447,0.58,-0.216,0.956,0.65,0.227,1.106
29,443,-4.0,-5.0,-5.0,             0.66497,0.09924224585605164,0.905,0.331,1.324,0.93,0.302,1.282
30,458,-5.0,-5.0,-5.0,             0.65584,0.12837539215882618,0.352,-0.053,0.672,0.346,0.159,0.654
31,466,-5.0,-5.0,-5.0,             0.65103,0.12572592543438077,0.684,0.338,1.363,0.801,0.449,1.353
32,489,-4.0,-5.0,-5.0,             0.63738,0.09055705676260202,0.816,0.253,1.195,0.743,0.201,1.11
33,504,-5.0,-5.0,-5.0,             0.62864,0.11842270816365878,0.737,0.483,1.398,0.716,0.476,1.187
34,519,-5.0,-5.0,-5.0,             0.62001,0.07135054171085357,1.027,0.165,1.254,0.91,0.011,1.149
35,536,-4.0,-5.0,-5.0,             0.61038,0.1032837177900707,0.654,0.242,0.998,0.748,0.429,1.198
36,551,-5.0,-4.0,-4.0,             0.60200,0.08239833364884058,1.072,0.192,1.551,1.061,0.323,1.451
37,566,-5.0,-4.0,-4.0,             0.59375,0.08042711392045021,0.708,-0.027,0.922,0.724,0.028,0.968
38,576,-5.0,-4.0,-4.0,             0.58830,0.07506673038005829,0.749,0.593,0.969,0.814,0.652,0.998
39,590,-5.0,-4.0,-4.0,             0.58076,0.0837783342493432,1.279,0.811,1.529,1.329,1.156,1.516
40,597,-5.0,-4.0,-4.0,             0.57703,0.07051300842847143,1.232,1.155,1.302,1.348,1.298,1.431
41,616,-4.0,-5.0,-4.0,             0.56702,0.09165055951789806,0.986,0.073,1.516,0.981,-0.066,1.481
42,631,-5.0,-5.0,-4.0,             0.55924,0.07169749562939008,0.628,0.125,0.834,0.573,0.228,0.799
43,638,-5.0,-5.0,-4.0,             0.55565,0.08459965831467084,0.845,0.715,0.918,0.9,0.835,0.958
44,646,-5.0,-5.0,-4.0,             0.55157,0.07670379988849163,0.745,0.634,0.934,0.762,0.617,0.957
45,661,-5.0,-5.0,-4.0,             0.54400,0.08117705807089806,1.05,-0.078,1.367,0.926,-0.644,1.32
46,676,-5.0,-5.0,-4.0,             0.53654,0.10668912877639135,0.645,-0.1,1.349,0.653,-0.26,1.242
47,691,-5.0,-5.0,-4.0,             0.52918,0.07546527236700058,0.857,0.243,1.081,0.846,0.361,1.051
48,706,-5.0,-5.0,-4.0,             0.52192,0.07194976123670736,1.043,-0.346,1.326,0.985,-0.657,1.31
49,721,-5.0,-5.0,-4.0,             0.51475,0.08475880175828934,0.659,-0.488,0.978,0.585,-0.421,0.865
50,728,-5.0,-5.0,-4.0,             0.51145,0.094479929123606,0.704,0.554,0.903,0.742,0.617,0.853
51,741,-5.0,-5.0,-4.0,             0.50536,0.09385049171172656,0.888,0.315,1.229,0.895,0.451,1.149
52,756,-5.0,-5.0,-4.0,             0.49843,0.05353754584987958,0.743,-0.09,1.234,0.509,-0.44,0.941
53,773,-4.0,-5.0,-4.0,             0.49068,0.07164032702498577,0.563,-0.126,1.097,0.535,-0.073,0.97
54,790,-4.0,-5.0,-4.0,             0.48306,0.07486413616467924,0.919,0.036,1.303,0.905,0.081,1.369
55,805,-5.0,-5.0,-4.0,             0.47643,0.07617632324496905,0.726,0.021,0.882,0.667,0.106,0.86
56,820,-5.0,-5.0,-4.0,             0.46989,0.0690495252609253,0.82,-0.21,1.364,0.846,-0.167,1.141
57,835,-5.0,-5.0,-4.0,             0.46345,0.07619070435563723,0.917,-0.295,1.314,0.958,-0.246,1.279
58,850,-5.0,-5.0,-4.0,             0.45709,0.08455650520821413,0.798,-0.067,1.056,0.783,-0.006,1.046
59,865,-5.0,-5.0,-4.0,             0.45082,0.0407520583520333,0.828,-0.151,1.117,0.724,-0.499,1.09
60,880,-5.0,-5.0,-4.0,             0.44463,0.06200120138625304,0.484,-0.909,1.198,0.444,-0.942,0.981
61,895,-5.0,-5.0,-4.0,             0.43853,0.05511786503096421,0.769,-0.919,1.477,0.704,-0.769,1.322
62,911,-4.0,-5.0,-4.0,             0.43212,0.07359393639490008,0.58,-0.141,0.915,0.612,-0.135,0.99
63,926,-5.0,-5.0,-4.0,             0.42619,0.06532634943723678,0.977,-0.517,1.328,0.892,-0.637,1.206
64,941,-5.0,-5.0,-4.0,             0.42034,0.06948172003030777,0.601,-0.668,1.357,0.601,-0.58,1.103
65,956,-5.0,-5.0,-4.0,             0.41457,0.06984094654520352,0.783,-0.328,1.462,0.779,-0.207,1.158
66,972,-4.0,-5.0,-4.0,             0.40851,0.08592475368641317,0.901,-0.17,1.686,0.84,0.025,1.409
67,978,-5.0,-5.0,-4.0,             0.40626,0.08563820521036784,0.61,0.483,0.726,0.697,0.567,0.831
68,993,-5.0,-5.0,-4.0,             0.40068,0.10624295597275098,0.999,0.25,1.487,0.967,0.316,1.311
69,1008,-5.0,-5.0,-4.0,             0.39518,0.07871559808651606,0.496,-0.261,0.839,0.453,-0.147,0.675
70,1023,-5.0,-5.0,-4.0,             0.38976,0.08273159141341845,0.833,-0.192,1.456,0.855,-0.443,1.58
71,1038,-5.0,-4.0,-4.0,             0.38441,0.07758145332336426,1.241,0.376,1.695,1.204,0.074,1.761
72,1053,-5.0,-4.0,-4.0,             0.37914,0.050858492776751515,0.579,-1.027,1.13,0.546,-0.909,1.011
73,1068,-5.0,-4.0,-4.0,             0.37394,0.08780418510238329,0.736,0.195,1.155,0.754,-0.083,1.086
74,1083,-5.0,-4.0,-4.0,             0.36881,0.049124589934945104,0.701,0.124,0.971,0.57,0.008,0.749
75,1108,-3.0,-4.0,-4.0,             0.36041,0.07367528721690178,0.525,-0.496,0.942,0.532,-0.575,1.035
76,1123,-5.0,-5.0,-4.0,             0.35547,0.07075686007738113,0.893,-0.139,1.529,0.883,-0.246,1.437
77,1138,-5.0,-5.0,-4.0,             0.35059,0.05099480127294858,0.839,-0.239,1.113,0.794,-0.326,1.042
78,1153,-5.0,-5.0,-4.0,             0.34578,0.05453956263760726,0.775,-0.591,1.11,0.703,-0.626,0.992
79,1170,-4.0,-5.0,-4.0,             0.34041,0.06621137743487078,0.84,-0.543,1.074,0.81,-0.571,1.511
80,1185,-5.0,-5.0,-4.0,             0.33574,0.044900094345211986,0.562,-0.359,0.908,0.529,-0.299,0.838
81,1194,-5.0,-5.0,-4.0,             0.33297,0.07610778345002069,0.763,0.481,1.085,0.819,0.513,1.193
82,1209,-5.0,-5.0,-4.0,             0.32840,0.05857615495721499,0.802,-0.75,1.404,0.779,-0.616,1.207
83,1224,-5.0,-5.0,-4.0,             0.32389,0.06843527580300966,0.788,-0.089,1.198,0.779,-0.129,1.017
84,1239,-5.0,-5.0,-4.0,             0.31945,0.049789183959364894,0.593,-0.335,1.016,0.612,-0.345,0.967
85,1254,-5.0,-5.0,-4.0,             0.31506,0.06054250399271647,0.513,-0.574,0.708,0.423,-0.815,0.63
86,1279,-3.0,-5.0,-4.0,             0.30789,0.050537485033273696,0.578,-0.907,1.093,0.562,-1.074,1.073
87,1294,-5.0,-5.0,-4.0,             0.30367,0.07110487123330435,1.162,-0.452,1.601,1.151,-0.785,1.728
88,1309,-5.0,-5.0,-4.0,             0.29950,0.06364433616399764,0.628,-1.139,1.144,0.64,-0.98,1.059
89,1324,-5.0,-5.0,-4.0,             0.29539,0.048090508704384166,0.556,-0.836,1.206,0.577,-0.598,0.99
90,1341,-4.0,-5.0,-4.0,             0.29080,0.05378486862515702,0.754,0.103,0.952,0.753,-0.307,1.356
91,1356,-5.0,-5.0,-4.0,             0.28681,0.06759712522228559,0.904,-0.934,1.312,0.84,-1.192,1.227
92,1371,-5.0,-5.0,-4.0,             0.28288,0.06294327042996883,0.778,-0.474,1.12,0.745,-0.595,1.127
93,1386,-5.0,-5.0,-4.0,             0.27900,0.05417826473712921,0.835,-0.281,1.276,0.703,-0.497,1.183
94,1401,-5.0,-5.0,-4.0,             0.27517,0.07304828017950057,0.603,-0.844,1.163,0.606,-0.949,1.283
95,1416,-5.0,-5.0,-4.0,             0.27139,0.06146169677376747,0.972,-0.177,1.331,0.875,-0.275,1.214
